,k = 10,,k = 30,,k = 90,,k=170,,k = 190,
 ,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall
SIFT,0.5415,0.027075,0.543583333,0.0815375,0.535972222,0.2411875,0.519558824,0.441625,0.516039474,0.4902375
HOG,0.928,0.0464,0.887833333,0.133175,0.782916667,0.3523125,0.662632353,0.5632375,0.636394737,0.604575
HU,0.61425,0.030025,0.586666667,0.08675,0.509055556,0.2276375,0.514794118,0.436525,0.511078947,0.48395
